Serie,dateprel,geno,bac,trait,ST,idepi,niveau,idepillet,dateflo,grain,pfmg,psmg,volmm3,qteaumg,teneaupct,temp,daa,msumtpgr
3,08/04/2016,46,5,30,190,613,2,12,29/03/2016,2,19.358,,27.34475954,,,19,10,187.8
3,08/04/2016,49,5,30,190,613,2,13,29/03/2016,1,20.223,5.274,26.20781536,14.949,73.92078327,19,10,187.8
3,08/04/2016,46,5,30,190,613,2,13,29/03/2016,2,13.954,,21.43064641,,,19,10,187.8
3,11/04/2016,49,5,30,300,615,2,13,26/03/2016,1,53.112,19.037,53.94424466,34.075,64.15687604,19,16,303.2
3,11/04/2016,49,5,30,300,615,2,13,26/03/2016,2,36.258,,37.66240271,,,19,16,303.2
3,11/04/2016,49,5,30,300,615,2,14,26/03/2016,1,45.233,16.171,47.85483176,29.062,64.24955232,19,16,303.2
3,11/04/2016,49,5,30,300,615,2,14,26/03/2016,2,43.925,,44.74150798,,,19,16,303.2
3,13/04/2016,49,5,30,230,617,2,12,01/04/2016,1,32.309,12.565,37.51314748,19.744,61.10990746,19,12,229.7
3,13/04/2016,49,5,30,230,617,2,12,01/04/2016,2,26.856,,31.44977912,,,19,12,229.7
3,13/04/2016,49,5,30,230,617,2,13,01/04/2016,1,28.161,10.277,35.76215328,17.884,63.50626753,19,12,229.7
3,13/04/2016,49,5,30,230,617,2,13,01/04/2016,2,29.378,,33.47524267,,,19,12,229.7
3,07/04/2016,49,5,30,133,619,2,13,31/03/2016,1,23.355,5.721,33.25186068,17.634,75.5041747,19,7,131.1
3,07/04/2016,49,5,30,133,619,2,13,31/03/2016,2,21.821,,20.29570566,,,19,7,131.1
3,27/04/2016,49,5,30,500,625,2,11,01/04/2016,1,52.507,26.591,50.03255567,25.916,49.35722856,19,26,503.6
3,27/04/2016,49,5,30,500,625,2,11,01/04/2016,2,54.889,,51.81760811,,,19,26,503.6
3,27/04/2016,49,5,30,500,625,2,12,01/04/2016,1,50.379,27.328,47.09954021,23.051,45.75517577,19,26,503.6
3,27/04/2016,49,5,30,500,625,2,12,01/04/2016,2,50.484,,42.29632672,,,19,26,503.6
3,20/04/2016,49,5,30,400,629,2,10,30/03/2016,1,42.928,17.539,40.13663364,25.389,59.14321655,19,21,404.7
3,20/04/2016,49,5,30,400,629,2,10,30/03/2016,2,48.912,,50.63859199,,,19,21,404.7
3,20/04/2016,49,5,30,400,629,2,11,30/03/2016,1,56.713,25.618,53.14387603,31.095,54.82869889,19,21,404.7
3,20/04/2016,49,5,30,400,629,2,11,30/03/2016,2,40.215,,43.52943533,,,19,21,404.7
3,07/04/2016,49,5,30,133,631,2,12,31/03/2016,1,25.416,6.326,33.61347905,19.09,75.11016682,19,7,131.1
3,07/04/2016,49,5,30,133,631,2,12,31/03/2016,2,17.179,,25.36236965,,,19,7,131.1
3,07/04/2016,49,5,30,133,631,2,13,31/03/2016,1,18.32,4.359,25.70395376,13.961,76.20633188,19,7,131.1
3,07/04/2016,49,5,30,133,633,2,11,31/03/2016,1,19.313,4.673,27.09933987,14.64,75.80386268,19,7,131.1
3,07/04/2016,49,5,30,133,633,2,11,31/03/2016,2,12.105,,18.77710886,,,19,7,131.1
3,07/04/2016,49,5,30,133,633,2,12,31/03/2016,1,12.551,2.895,19.82490058,9.656,76.93410884,19,7,131.1
3,07/04/2016,49,5,30,133,633,2,12,31/03/2016,2,16.522,,24.60407297,,,19,7,131.1
3,27/04/2016,49,5,30,500,634,2,13,01/04/2016,1,61.722,30.713,58.36179868,31.009,50.23978484,19,26,503.6
3,27/04/2016,49,5,30,500,634,2,13,01/04/2016,2,45.796,,43.3100602,,,19,26,503.6
